iter	Passed	Remaining
0	58	58388
1	58	29320
2	59	19630
3	59	14786
4	59	11877
5	60	9944
6	60	8570
7	60	7531
8	61	6730
9	61	6085
10	61	5554
11	62	5112
12	62	4738
13	62	4418
14	63	4139
15	63	3898
16	63	3682
17	63	3491
18	64	3319
19	64	3167
20	64	3026
21	65	2898
22	65	2781
23	65	2674
24	66	2575
25	66	2484
26	66	2400
27	66	2323
28	67	2250
29	67	2183
30	67	2120
31	68	2060
32	68	2005
33	68	1953
34	69	1903
35	69	1856
36	69	1811
37	69	1770
38	70	1729
39	70	1691
40	70	1656
41	71	1621
42	71	1587
43	71	1556
44	72	1528
45	72	1499
46	72	1471
47	72	1444
48	73	1419
49	73	1394
50	73	1370
51	73	1347
52	74	1326
53	74	1305
54	74	1286
55	75	1266
56	75	1247
57	75	1229
58	76	1212
59	76	1195
60	76	1180
61	77	1165
62	77	1149
63	77	1134
64	77	1120
65	78	1106
66	78	1093
67	78	1080
68	79	1066
69	79	1054
70	79	1042
71	79	1030
72	80	1018
73	80	1006
74	80	995
75	80	984
76	81	973
77	81	963
78	81	953
79	82	943
80	82	934
81	82	924
82	82	914
83	83	906
84	83	897
85	83	889
86	83	880
87	84	873
88	84	865
89	84	858
90	85	850
91	85	843
92	85	836
93	86	829
94	86	822
95	86	815
96	86	808
97	87	801
98	87	795
99	87	789
100	88	783
101	88	777
102	88	771
103	88	765
104	89	759
105	89	754
106	89	748
107	90	743
108	90	738
109	90	732
110	90	727
111	91	722
112	91	717
113	91	712
114	92	708
115	92	703
116	92	697
117	92	693
118	92	688
119	93	683
120	93	679
121	93	674
122	94	670
123	94	667
124	94	663
125	95	659
126	95	654
127	95	650
128	95	647
129	96	643
130	96	639
131	96	635
132	97	633
133	97	629
134	97	625
135	97	622
136	98	623
137	99	619
138	99	616
139	99	614
140	100	611
141	100	606
142	100	603
143	100	600
144	101	597
145	101	593
146	101	590
147	102	587
148	102	584
149	102	581
150	102	578
151	103	576
152	103	573
153	103	570
154	104	567
155	104	564
156	104	561
157	104	559
158	105	556
159	105	553
160	105	550
161	105	547
162	106	545
163	106	542
164	106	540
165	106	537
166	107	535
167	107	532
168	107	530
169	108	528
170	108	526
171	108	523
172	109	521
173	109	519
174	109	517
175	109	514
176	110	512
177	110	511
178	111	509
179	111	507
180	111	505
181	111	503
182	112	500
183	112	498
184	112	496
185	113	494
186	113	492
187	113	490
188	113	488
189	114	486
190	114	484
191	114	482
192	114	480
193	115	479
194	115	477
195	115	475
196	116	473
197	116	471
198	116	469
199	116	467
200	117	466
201	117	464
202	117	462
203	118	460
204	118	459
205	118	457
206	119	456
207	119	454
208	119	452
209	119	451
210	120	449
211	120	448
212	120	446
213	121	444
214	121	443
215	121	441
216	121	440
217	122	438
218	122	436
219	122	435
220	123	434
221	123	432
222	123	431
223	124	429
224	124	428
225	124	426
226	124	425
227	125	423
228	125	422
229	125	420
230	125	419
